token	number	frequency
claim	singular	155630
sequence	singular	14522
experiences	plural	53456
funds	plural	35630
sites	plural	10114
transfer	singular	26740
goals	plural	2613
agent	singular	86602
comparison	singular	71744
images	plural	42698
situations	plural	21148
combination	singular	58365
vision	singular	119077
pages	plural	108016
career	singular	103094
creation	singular	77510
reduction	singular	23645
passage	singular	239565
perspective	singular	14903
firm	singular	141220
examination	singular	99985
review	singular	65958
projects	plural	20588
ship	singular	408197
user	singular	3503
conclusion	singular	126857
positions	plural	51102
officer	singular	250339
layer	singular	30058
portion	singular	202883
labour	singular	123669
reader	singular	154536
firms	plural	5904
statements	plural	42849
movements	plural	106149
division	singular	146687
exercise	singular	133780
mode	singular	95069
assessment	singular	5107
walls	plural	261819
aspect	singular	86063
stress	singular	28344
stone	singular	370783
committee	singular	141066
sections	plural	41311
concepts	plural	6157
hope	singular	680277
audience	singular	89482
agents	plural	48916
authorities	plural	95921
tissue	singular	24293
consequences	plural	76328
explanation	singular	117711
nations	plural	183454
battle	singular	359129
writer	singular	152111
applications	plural	14493
citizens	plural	132559
struggle	singular	156267
feature	singular	64415
difficulties	plural	112742
proportion	singular	112783
opposition	singular	109601
composition	singular	78115
couple	singular	132538
authors	plural	64353
election	singular	86546
campaign	singular	80190
damage	singular	41652
trouble	singular	342897
plane	singular	52481
notes	plural	167440
provisions	plural	93607
responses	plural	5571
periods	plural	48702
representation	singular	56706
opportunities	plural	42996
courts	plural	78266
baby	singular	131701
television	singular	6392
master	singular	573580
benefit	singular	99634
survey	singular	44886
accounts	plural	85776
doctor	singular	367291
categories	plural	6140
danger	singular	293215
symptoms	plural	45725
pieces	plural	211611
jobs	plural	10329
experiments	plural	58762
department	singular	117980
increases	plural	23256
markets	plural	20187
horse	singular	502996
curve	singular	32946
distinction	singular	94129
mechanism	singular	21660
claims	plural	88893
writers	plural	105904
resolution	singular	93445
foot	singular	403514
drugs	plural	16226
column	singular	74468
introduction	singular	101261
attitudes	plural	11184
limits	plural	68835
entry	singular	38421
defense	singular	47422
address	singular	138767
crime	singular	130202
soldiers	plural	262285
buildings	plural	107144
target	singular	15989
articles	plural	125672
percentage	singular	17302
stages	plural	41658
farm	singular	146198
probability	singular	47196
device	singular	32894
document	singular	42605
sister	singular	352896
relief	singular	161594
sale	singular	78671
contribution	singular	21116
advice	singular	144500
tools	plural	42004
provision	singular	51404
demands	plural	67850
payment	singular	56761
radio	singular	20337
determination	singular	70445
bone	singular	73203
observations	plural	70185
sum	singular	140877
estate	singular	100184
revolution	singular	120871
call	singular	619133
band	singular	131265
experiment	singular	67879
category	singular	9590
bar	singular	119160
solutions	plural	10245
investigation	singular	52449
occasion	singular	290603
height	singular	168439
transition	singular	20782
reactions	plural	7297
acts	plural	155222
tendency	singular	78379
observation	singular	98887
conversation	singular	239809
documents	plural	45406
criticism	singular	67269
trust	singular	224864
angle	singular	54034
island	singular	354967
dollars	plural	174062
season	singular	181144
theories	plural	38383
industries	plural	25744
governments	plural	39540
frame	singular	101791
animal	singular	232310
settlement	singular	89129
assets	plural	4526
corner	singular	245544
assumption	singular	30758
plate	singular	153955
bottom	singular	192926
publication	singular	52819
beauty	singular	353318
block	singular	59437
tone	singular	270651
substance	singular	100217
depth	singular	81995
owner	singular	89958
intelligence	singular	127035
preparation	singular	69380
conduct	singular	212039
manager	singular	47212
edition	singular	139398
transport	singular	36649
variation	singular	30373
poem	singular	98763
doctrine	singular	129931
consequence	singular	158466
samples	plural	9576
chair	singular	281447
centuries	plural	108553
pair	singular	157514
dog	singular	270725
evolution	singular	50603
director	singular	50244
noise	singular	144576
injury	singular	63139
employee	singular	4153
debt	singular	76911
unity	singular	62559
exposure	singular	28718
arguments	plural	55460
exception	singular	86231
institution	singular	72352
interview	singular	77453
duties	plural	150808
atmosphere	singular	98255
notice	singular	236612
extension	singular	36999
chain	singular	91822
camp	singular	310556
velocity	singular	21208
muscle	singular	25240
signal	singular	89429
territory	singular	109107
store	singular	126617
societies	plural	34942
instrument	singular	91140
infection	singular	14218
conference	singular	54145
particles	plural	24670
languages	plural	52496
request	singular	107814
meetings	plural	51408
debate	singular	36696
afternoon	singular	262839
tool	singular	26995
dinner	singular	295602
readers	plural	79095
roles	plural	2030
amounts	plural	21153
profit	singular	73964
necessity	singular	171201
users	plural	3057
measurement	singular	10385
garden	singular	288571
devices	plural	24565
heads	plural	218278
host	singular	104969
neck	singular	205939
university	singular	120828
motor	singular	68856
regulations	plural	32647
parent	singular	47651
household	singular	102953
pictures	plural	151818
farmers	plural	46709
commitment	singular	1958
ships	plural	202940
budget	singular	14237
democracy	singular	36213
perception	singular	35807
implications	plural	2609
tube	singular	50961
lands	plural	149132
customers	plural	21704
separation	singular	47030
worker	singular	23719
dream	singular	198264
sugar	singular	133528
van	singular	112212
managers	plural	13268
mechanisms	plural	2048
birds	plural	240387
circuit	singular	35557
artist	singular	108902
partner	singular	47636
regulation	singular	21624
arrangement	singular	92686
limit	singular	54243
root	singular	81442
participants	plural	2512
trip	singular	87930
domain	singular	25186
instances	plural	83416
proof	singular	146325
transformation	singular	19242
silence	singular	331529
anxiety	singular	109390
translation	singular	69043
errors	plural	43272
advance	singular	172672
newspaper	singular	70156
train	singular	228763
stream	singular	209184
instruments	plural	62590
flowers	plural	268370
illness	singular	56259
medicine	singular	83603
sky	singular	234787
route	singular	79003
