token	number	frequency
bishop	singular	191673
venture	singular	76867
chicken	singular	36293
basin	singular	41661
termination	singular	19898
clerk	singular	85195
incomes	plural	5202
realities	plural	14547
carriers	plural	9771
bomb	singular	14718
circuits	plural	4963
religions	plural	23999
grandmother	singular	51890
repetition	singular	27625
jail	singular	32971
deposition	singular	10495
depths	plural	65358
induction	singular	11085
practitioners	plural	3817
illusion	singular	25242
occupations	plural	23191
perfection	singular	69853
elevation	singular	46241
combat	singular	40835
refugees	plural	11897
legend	singular	51621
revision	singular	11811
specialists	plural	3981
container	singular	3063
associates	plural	26633
fracture	singular	7862
curiosity	singular	108596
kidney	singular	6463
lectures	plural	40134
cabin	singular	116953
chairs	plural	58511
scientist	singular	11625
destiny	singular	49703
mechanics	plural	15779
disturbance	singular	29737
trap	singular	56891
disciples	plural	46035
obstacles	plural	26175
mask	singular	34030
severity	singular	32579
frames	plural	16179
photo	singular	13153
plots	plural	14885
campaigns	plural	13697
modifications	plural	14567
specifications	plural	3198
mortgage	singular	11460
debts	plural	34906
rail	singular	47571
inequality	singular	7306
exhibition	singular	40953
accommodation	singular	23863
principal	singular	173092
implication	singular	6381
statutes	plural	19618
arrow	singular	49183
encounter	singular	46170
carriage	singular	161025
conversations	plural	17366
emperor	singular	213536
painter	singular	62384
trips	plural	13309
neighbor	singular	40854
lungs	plural	32143
automobile	singular	22440
manifestations	plural	16794
peers	plural	18630
charity	singular	77608
contradiction	singular	22331
distinctions	plural	18756
bow	singular	138755
pole	singular	71509
fantasy	singular	4532
disclosure	singular	6205
castle	singular	207505
fragment	singular	27562
remark	singular	107841
specialist	singular	5678
stake	singular	39268
stresses	plural	1633
birthday	singular	30365
cylinder	singular	27176
cult	singular	11510
gates	plural	95746
convenience	singular	29275
veins	plural	47896
alarm	singular	94328
cents	plural	67392
passenger	singular	30399
exile	singular	37567
conquest	singular	64574
adventure	singular	80145
battery	singular	55341
delegates	plural	21014
founder	singular	31367
architect	singular	22864
counties	plural	30515
audiences	plural	8292
fluctuations	plural	4516
adjustments	plural	2745
manipulation	singular	5700
tin	singular	61753
lesion	singular	2084
debates	plural	12277
voyage	singular	111547
reach	singular	254029
histories	plural	19546
accidents	plural	26781
cow	singular	68309
corners	plural	50909
domains	plural	6728
holiday	singular	45741
jacket	singular	34330
landing	singular	76919
reviews	plural	9568
shaft	singular	41121
assistant	singular	43677
gear	singular	21283
cups	plural	38531
concert	singular	35480
minorities	plural	1650
signature	singular	23552
blade	singular	40156
husbands	plural	32792
recommendation	singular	18586
caution	singular	42950
fatigue	singular	42862
leather	singular	67694
verses	plural	65879
taxpayer	singular	1031
bride	singular	82954
reinforcement	singular	5847
objections	plural	33954
traders	plural	26997
similarities	plural	1659
disturbances	plural	12943
airport	singular	1507
offence	singular	55483
rage	singular	94097
membranes	plural	4706
revolt	singular	36477
calendar	singular	20669
conferences	plural	9221
participant	singular	1432
guards	plural	68351
aspirations	plural	18017
prosecution	singular	20629
qualifications	plural	15559
competitors	plural	8687
retreat	singular	93921
negotiation	singular	12412
pile	singular	60863
estates	plural	44720
visitor	singular	69429
ingredients	plural	18229
predictions	plural	7181
deduction	singular	8293
fires	plural	69982
explosion	singular	28344
bench	singular	58567
peaks	plural	25775
lengths	plural	14649
spin	singular	14603
profiles	plural	1570
designer	singular	4580
chiefs	plural	60946
pound	singular	78601
dishes	plural	42158
nest	singular	84191
ambition	singular	79363
lip	singular	50115
propositions	plural	21124
pause	singular	99641
contraction	singular	11801
oppression	singular	27815
ridge	singular	68902
parliament	singular	151047
indications	plural	21923
reporter	singular	15937
cheek	singular	88380
delegation	singular	7078
beans	plural	27452
exchanges	plural	6722
clauses	plural	8418
gradient	singular	1747
investigators	plural	4655
celebration	singular	17432
struggles	plural	27640
yields	plural	16980
angels	plural	75361
wilderness	singular	64745
printer	singular	19616
inference	singular	19529
transfers	plural	2975
charts	plural	8840
panic	singular	34036
coins	plural	24745
manifestation	singular	19572
bear	singular	384275
breach	singular	34006
marriages	plural	20120
episodes	plural	7802
dish	singular	66618
surgeon	singular	49331
speculation	singular	30596
drivers	plural	14308
courtesy	singular	47234
supervisor	singular	2816
salaries	plural	10276
orbit	singular	11330
pit	singular	49639
palm	singular	61798
margins	plural	7960
ray	singular	51370
administrator	singular	5439
meter	singular	6456
impressions	plural	45188
promises	plural	51458
secretion	singular	6766
burial	singular	36714
deals	plural	16602
maker	singular	42561
refuge	singular	66340
comedy	singular	38551
doctrines	plural	45938
tunnel	singular	25492
romance	singular	71963
disadvantage	singular	17616
contest	singular	52863
misery	singular	90287
fan	singular	33820
cake	singular	52452
shots	plural	34213
luxury	singular	48716
traces	plural	50951
skull	singular	37909
counts	plural	20500
spheres	plural	12553
pathway	singular	14105
basket	singular	69579
commitments	plural	2492
seasons	plural	39455
motions	plural	28693
ticket	singular	28194
grip	singular	35633
prize	singular	76245
musicians	plural	19175
revival	singular	20825
pack	singular	68190
decree	singular	37424
temples	plural	51213
strangers	plural	79265
tones	plural	77475
sculpture	singular	23052
pains	plural	71890
quotation	singular	17904
incentive	singular	6837
judgement	singular	8967
wagon	singular	64723
printing	singular	43546
tips	plural	22501
battles	plural	41617
holder	singular	12630
slopes	plural	34617
fort	singular	174163
restaurants	plural	5893
weaknesses	plural	10055
circumstance	singular	85036
contractor	singular	5924
composer	singular	18193
angel	singular	98696
biography	singular	20037
balls	plural	47159
companions	plural	121939
spine	singular	12747
legacy	singular	12007
dissertation	singular	5832
lovers	plural	56351
troubles	plural	68089
recreation	singular	15513
cheeks	plural	104470
tourist	singular	11091
shelf	singular	28815
arrows	plural	43836
examinations	plural	12831
joke	singular	56184
obstruction	singular	10420
immunity	singular	8417
faults	plural	44591
gang	singular	43194
saints	plural	78641
tomb	singular	65912
meditation	singular	19608
discount	singular	6200
oath	singular	75842
assignments	plural	1470
resident	singular	29262
poles	plural	40417
offense	singular	14751
ceremonies	plural	40615
aunt	singular	234151
sketch	singular	58521
waist	singular	49958
paragraphs	plural	10215
labels	plural	4315
festival	singular	40088
editions	plural	26798
receipt	singular	28894
careers	plural	4077
nationalist	singular	3989
coin	singular	39744
treaties	plural	20836
expert	singular	31133
publishers	plural	24312
innovations	plural	4963
transitions	plural	2336
counterparts	plural	1502
disabilities	plural	3611
liabilities	plural	3648
dependency	singular	3477
imitation	singular	41938
tenants	plural	24214
affinity	singular	13236
mills	plural	36592
wit	singular	100566
query	singular	10402
buyers	plural	5647
hotels	plural	19630
posture	singular	17733
mess	singular	33465
psychologists	plural	2137
myths	plural	13865
temper	singular	106800
kindness	singular	113263
accord	singular	36643
pencil	singular	39783
altar	singular	82150
possessions	plural	41663
rifle	singular	82641
sanctions	plural	3495
cats	plural	29980
injustice	singular	42916
drops	plural	57804
computation	singular	4545
tenure	singular	10860
conceptions	plural	24055
funeral	singular	61671
breasts	plural	19261
packet	singular	24688
handle	singular	65996
graduates	plural	5691
contention	singular	15093
arteries	plural	7930
concessions	plural	13119
theorists	plural	2360
confession	singular	61992
educators	plural	2196
addresses	plural	24743
blanket	singular	34823
manuscripts	plural	21523
bishops	plural	50289
assessments	plural	1275
hut	singular	65744
monks	plural	46470
partition	singular	14085
lion	singular	92940
prohibition	singular	16746
acquaintance	singular	119160
announcement	singular	29539
treasure	singular	82062
excellence	singular	36404
disappointment	singular	64599
sickness	singular	54256
gospel	singular	93824
cows	plural	37451
derivatives	plural	2281
cottage	singular	90435
temptation	singular	48846
doorway	singular	57061
amendments	plural	8754
bottles	plural	33571
beams	plural	32707
bull	singular	97622
passions	plural	64612
plantation	singular	32561
dividends	plural	5230
tune	singular	39190
supper	singular	147880
trick	singular	62248
pepper	singular	45793
workshop	singular	10526
fans	plural	8475
sediments	plural	1441
reservoir	singular	9717
tie	singular	53218
trains	plural	33283
trustee	singular	5473
disadvantages	plural	9076
drum	singular	33224
debtor	singular	9372
pathways	plural	2299
surrender	singular	66537
electrode	singular	1499
boom	singular	17204
fluids	plural	6335
reflections	plural	34007
sums	plural	32231
wake	singular	62488
arc	singular	18124
ladder	singular	45593
drinks	plural	22714
generator	singular	4695
journalists	plural	4865
collector	singular	16819
phosphate	singular	4835
professors	plural	22191
ink	singular	38225
soup	singular	44343
projections	plural	4481
violations	plural	2939
appearances	plural	27980
gallery	singular	63807
snake	singular	51462
floors	plural	18015
transformations	plural	4165
heights	plural	49755
schedules	plural	1543
reservation	singular	13797
conductor	singular	25088
translations	plural	16636
advocates	plural	15669
probabilities	plural	6176
resemblance	singular	49285
resentment	singular	33575
obstacle	singular	25717
trucks	plural	6708
jaw	singular	30492
contradictions	plural	8561
emissions	plural	1171
premium	singular	8084
diagrams	plural	5906
straw	singular	64894
compositions	plural	18349
rites	plural	30861
alterations	plural	14477
fractions	plural	3065
sediment	singular	4626
wires	plural	25197
dynasty	singular	24733
alteration	singular	21883
covenant	singular	35607
buttons	plural	23054
stack	singular	9485
stretch	singular	50137
liquor	singular	47746
paradox	singular	7686
pigs	plural	29076
councils	plural	22678
demonstrations	plural	11962
successes	plural	16619
deviations	plural	2699
survivors	plural	12815
learners	plural	1256
microscope	singular	11597
visions	plural	32682
creditors	plural	14216
suits	plural	29567
bibliography	singular	10684
multitude	singular	69261
chapel	singular	89708
flames	plural	59846
dealer	singular	21051
lap	singular	43409
attainment	singular	12715
drift	singular	38041
charter	singular	33352
summit	singular	59111
corps	singular	85828
instructor	singular	11093
displays	plural	12254
tender	singular	154704
trait	singular	13423
wrist	singular	27388
discomfort	singular	17105
exemption	singular	6953
offenders	plural	10358
warriors	plural	59922
catalogue	singular	30524
pottery	singular	18814
reservations	plural	5792
sauce	singular	39505
sexes	plural	24838
pine	singular	80463
hint	singular	53055
mistress	singular	145862
appetite	singular	47866
bladder	singular	10534
filters	plural	1424
freight	singular	25889
villagers	plural	13963
pipes	plural	37888
collision	singular	14688
agitation	singular	45911
globe	singular	51169
inscription	singular	40137
holders	plural	10653
reverse	singular	37033
intimacy	singular	27190
intuition	singular	15345
disagreement	singular	6240
rescue	singular	55089
gestures	plural	20410
journalist	singular	9828
inflammation	singular	14475
chocolate	singular	21589
criticisms	plural	11573
counterpart	singular	8367
verdict	singular	27552
regiment	singular	113246
professions	plural	15121
apple	singular	61341
plea	singular	24644
neighbours	plural	50721
photos	plural	1517
salts	plural	16745
tourists	plural	10959
reporters	plural	8355
collar	singular	47891
horn	singular	68659
valleys	plural	45934
coup	singular	12042
coil	singular	19002
pastor	singular	30679
migrants	plural	1797
navy	singular	75485
resolutions	plural	28097
guides	plural	27020
fractures	plural	2773
rebels	plural	41490
bundle	singular	37347
altitude	singular	14177
politician	singular	17286
lock	singular	60077
decoration	singular	27674
colleague	singular	13626
believers	plural	17770
premise	singular	3389
oils	plural	10006
clan	singular	19523
hosts	plural	27091
dictionary	singular	26828
saint	singular	153349
shield	singular	58205
reductions	plural	2051
practitioner	singular	5876
bunch	singular	41212
textile	singular	4352
chambers	plural	45936
fibres	plural	12110
holidays	plural	20674
spray	singular	25153
bounds	plural	36574
convictions	plural	20343
cane	singular	36298
inclination	singular	41298
pin	singular	43499
barn	singular	45351
monarchy	singular	28482
procession	singular	62401
gauge	singular	17887
tenant	singular	19631
curtain	singular	52786
containers	plural	1077
glimpse	singular	50293
ton	singular	24314
symptom	singular	10668
deficiencies	plural	6592
thinkers	plural	10934
persecution	singular	34201
wax	singular	40697
receipts	plural	14168
anticipation	singular	20600
penalties	plural	15529
corridor	singular	30324
singer	singular	27486
furnace	singular	29232
prints	plural	30104
princes	plural	84057
harbor	singular	48403
breeze	singular	72694
designers	plural	1905
bid	singular	67639
nationality	singular	19928
ambassador	singular	50283
embryo	singular	12328
percentages	plural	1811
parish	singular	75558
designation	singular	9385
dividend	singular	3776
brass	singular	64721
quotations	plural	13272
seizure	singular	9644
prescription	singular	8198
dealers	plural	12693
miners	plural	20129
sensations	plural	27999
heavens	plural	84724
dam	singular	27571
metres	plural	7066
awards	plural	2006
monastery	singular	35874
utilities	plural	1603
patron	singular	32558
prototype	singular	4444
sacrifices	plural	37010
portraits	plural	35982
sermon	singular	49504
planets	plural	22919
feathers	plural	62464
chips	plural	10272
twins	plural	21384
counselor	singular	2650
laboratories	plural	3600
vapor	singular	12163
heels	plural	57288
vibration	singular	9687
siege	singular	60649
bombs	plural	11976
pointer	singular	4348
tastes	plural	32907
monument	singular	48066
workshops	plural	5587
landlord	singular	45932
saddle	singular	80097
mandate	singular	6485
limestone	singular	20342
batch	singular	6269
stops	plural	23329
architects	plural	9119
theft	singular	17360
detachment	singular	25238
morale	singular	4511
fortunes	plural	51467
coincidence	singular	16949
torture	singular	42851
tickets	plural	18401
clue	singular	21622
cone	singular	16107
monster	singular	47357
breadth	singular	48383
trades	plural	20246
predecessors	plural	20583
generalization	singular	3496
bass	singular	21551
hemisphere	singular	11757
bullet	singular	46271
terminals	plural	3317
beads	plural	25647
repairs	plural	14843
carpet	singular	39342
cage	singular	33141
spectacle	singular	44866
formations	plural	9090
cameras	plural	2563
locality	singular	32136
anniversary	singular	13790
toes	plural	27493
missile	singular	5486
rounds	plural	19488
token	singular	31590
illumination	singular	15520
lamps	plural	40385
messenger	singular	64972
dedication	singular	13444
balances	plural	4443
tray	singular	22437
hunters	plural	39404
missiles	plural	7003
pig	singular	46555
antiquity	singular	42177
donor	singular	4550
embarrassment	singular	28625
lawn	singular	38368
variant	singular	5678
beard	singular	65646
ambitions	plural	14260
variants	plural	2763
monitor	singular	6480
psychologist	singular	2947
ventures	plural	7274
eternity	singular	38753
chip	singular	9115
laborers	plural	18552
terminal	singular	13438
sailors	plural	58584
mutations	plural	1596
evils	plural	43021
apprehension	singular	42410
pilots	plural	8337
toys	plural	16716
railroads	plural	20770
stove	singular	42881
clues	plural	2891
toilet	singular	17549
earthquake	singular	20737
textbooks	plural	1413
dances	plural	25507
attorneys	plural	4666
copyright	singular	29299
couch	singular	41554
budgets	plural	1053
courtyard	singular	23613
faculties	plural	39001
mixtures	plural	4549
textbook	singular	1432
dozens	plural	9323
exposition	singular	23056
baptism	singular	33432
nursery	singular	28220
wastes	plural	11268
trustees	plural	13339
hunter	singular	70338
lobe	singular	4152
alliances	plural	6296
deity	singular	38669
supervisors	plural	1979
cart	singular	55324
individuality	singular	18951
airplane	singular	4420
nephew	singular	54782
veterans	plural	10357
plantations	plural	21080
lime	singular	37966
bowel	singular	2534
casualties	plural	11334
lenses	plural	4407
shores	plural	58875
fury	singular	68724
prophecy	singular	34212
preacher	singular	43256
cemetery	singular	22742
crust	singular	23842
treatise	singular	32950
pots	plural	27868
assistants	plural	15754
mutation	singular	1586
monuments	plural	32722
accomplishment	singular	20762
monk	singular	48005
acre	singular	28969
contractors	plural	4872
ranch	singular	34679
temperament	singular	35014
flights	plural	13764
painters	plural	26133
candle	singular	62275
advocate	singular	31439
elephant	singular	38560
qualification	singular	9633
defenses	plural	4842
modulation	singular	1644
anchor	singular	52544
discourses	plural	11714
rolls	plural	33350
drain	singular	22275
reformers	plural	14933
killer	singular	5936
cruelty	singular	49767
melody	singular	28657
winner	singular	8372
certificates	plural	7629
graduate	singular	9604
rods	plural	23487
tracts	plural	20855
museums	plural	6719
interpreter	singular	22260
nomination	singular	12715
aristocracy	singular	24815
licence	singular	11487
jar	singular	27086
velocities	plural	2121
parade	singular	25837
gravel	singular	28224
comrades	plural	57834
utterance	singular	31622
fertilizer	singular	2925
warrior	singular	45699
suburbs	plural	15142
aspiration	singular	8744
tablespoons	plural	4834
corrections	plural	6869
fighter	singular	9808
elevator	singular	11189
electrodes	plural	1492
suite	singular	19299
bubble	singular	11687
costume	singular	44523
purse	singular	46428
inquiries	plural	42440
extensions	plural	2316
covers	plural	35943
presentations	plural	1852
toy	singular	21520
accomplishments	plural	14142
susceptibility	singular	4607
dwelling	singular	69384
linen	singular	54947
veil	singular	59640
listeners	plural	10248
deputy	singular	28800
pamphlet	singular	21595
screw	singular	26106
colonists	plural	26604
stems	plural	23721
persuasion	singular	19803
balloon	singular	18966
finish	singular	73162
seizures	plural	1437
adventures	plural	65029
champion	singular	30079
monkeys	plural	16136
births	plural	15926
precautions	plural	21760
tyranny	singular	34864
articulation	singular	4003
reminder	singular	6762
fantasies	plural	2173
strands	plural	6564
enlargement	singular	8995
predecessor	singular	15656
skirt	singular	26864
compartment	singular	13383
creditor	singular	7129
ass	singular	35585
apples	plural	38651
permit	singular	87068
preface	singular	41559
warehouse	singular	9170
concession	singular	16398
skeleton	singular	26659
parallels	plural	6102
advertisement	singular	19559
hesitation	singular	48688
preoccupation	singular	4727
bargain	singular	42146
plaster	singular	21063
scandal	singular	31281
closet	singular	25149
imposition	singular	7487
deductions	plural	6588
listener	singular	13872
injunction	singular	11373
purchaser	singular	8950
commentators	plural	6091
vowel	singular	7920
prejudices	plural	28954
prominence	singular	13242
fighters	plural	7420
advertisements	plural	11393
batteries	plural	33394
horns	plural	43198
satellite	singular	8489
investigator	singular	5780
palms	plural	27315
pistol	singular	53577
vendor	singular	1942
broker	singular	8809
travels	plural	40292
gossip	singular	32146
labourers	plural	17482
enactment	singular	6115
deception	singular	17251
creator	singular	32047
thunder	singular	78680
policeman	singular	31514
cliff	singular	55472
mythology	singular	18818
metaphors	plural	3590
tricks	plural	36343
contemplation	singular	29067
mantle	singular	29669
learner	singular	2410
toe	singular	23139
bleeding	singular	29544
blades	plural	17313
mold	singular	7949
shrine	singular	29483
fist	singular	34216
pasture	singular	27141
notices	plural	19933
evenings	plural	30205
hammer	singular	36087
witch	singular	39545
sketches	plural	29155
correspondent	singular	26107
drag	singular	36924
sheriff	singular	43745
colonel	singular	279917
factions	plural	10583
proclamation	singular	36207
rivalry	singular	13876
encounters	plural	8473
amusement	singular	63657
grams	plural	6519
scent	singular	35946
specialty	singular	4553
proceeding	singular	61605
occurrences	plural	13005
franchise	singular	10189
averages	plural	3368
garrison	singular	61891
dancers	plural	14365
suffrage	singular	35196
buses	plural	1192
jokes	plural	18425
dock	singular	24446
onion	singular	14776
offender	singular	11570
donors	plural	1785
hats	plural	37572
famine	singular	28939
tours	plural	10932
incision	singular	4822
flock	singular	44551
monarch	singular	58564
fork	singular	29816
carbonate	singular	10153
contingency	singular	6406
fishes	plural	33511
masks	plural	9449
legislators	plural	6353
complication	singular	6641
shirts	plural	14633
mouths	plural	35000
refugee	singular	3791
rhythms	plural	2296
cartilage	singular	4305
shelves	plural	19383
garments	plural	53926
illnesses	plural	1755
localities	plural	19973
dome	singular	27501
compass	singular	38497
bulb	singular	8166
lords	plural	89163
parallel	singular	61279
recipe	singular	7831
rivals	plural	19925
patrol	singular	18961
candles	plural	35113
goat	singular	35698
legends	plural	28191
revolutions	plural	15997
treasury	singular	48868
patrons	plural	12467
satellites	plural	5992
grin	singular	29125
canals	plural	16916
sanction	singular	25917
garment	singular	31050
fountain	singular	50743
drawer	singular	22880
ordinance	singular	17047
curse	singular	61448
supplement	singular	11944
futures	plural	1095
faction	singular	15787
cooking	singular	43704
strokes	plural	22769
grievances	plural	13455
curtains	plural	39560
sergeant	singular	70580
dot	singular	24441
wolf	singular	78031
sofa	singular	39162
burdens	plural	18481
intestine	singular	7201
drums	plural	19675
apartments	plural	35925
monkey	singular	33481
proofs	plural	37828
warnings	plural	11065
railways	plural	25043
telegram	singular	32627
subdivision	singular	4485
refinement	singular	21316
rabbits	plural	19758
riots	plural	7749
slices	plural	16696
pigment	singular	5598
festivals	plural	15363
beaches	plural	4545
clerks	plural	26007
inscriptions	plural	23291
landscapes	plural	7989
musician	singular	19890
heel	singular	27997
inferences	plural	6322
landowners	plural	3998
bicycle	singular	10727
patents	plural	7636
fuels	plural	1898
slice	singular	17375
odor	singular	21297
victories	plural	22454
capsule	singular	6834
humour	singular	67020
footsteps	plural	45617
coats	plural	32947
spectators	plural	32929
vendors	plural	1758
medicines	plural	15913
stool	singular	23071
dots	plural	9772
affirmation	singular	5593
sect	singular	31268
nightmare	singular	13447
bricks	plural	20236
pillow	singular	40414
travelers	plural	14432
packets	plural	5681
grandson	singular	24137
landlords	plural	7621
skins	plural	44904
singers	plural	16695
flags	plural	27264
bucket	singular	17196
crews	plural	15569
cousins	plural	25754
brigade	singular	60727
installations	plural	1009
uniform	singular	76563
peer	singular	20856
textiles	plural	4570
halt	singular	39723
piles	plural	22070
sensibility	singular	17394
sellers	plural	6496
photographer	singular	5228
terrace	singular	37224
strand	singular	21490
sink	singular	52337
calf	singular	28222
brackets	plural	4547
demons	plural	20082
traps	plural	18345
subscription	singular	15080
hairs	plural	24213
inequalities	plural	4341
bankers	plural	10073
spark	singular	27372
ridges	plural	22434
misfortune	singular	60235
taxpayers	plural	1390
impossibility	singular	21010
interruption	singular	25379
uncertainties	plural	2615
diets	plural	1353
disks	plural	3156
telescope	singular	18378
wines	plural	15640
candy	singular	17291
pillars	plural	31957
spouses	plural	1103
composers	plural	6542
snakes	plural	22885
offences	plural	16173
jurisdictions	plural	1750
pins	plural	20724
constituency	singular	3844
canoe	singular	62896
battalion	singular	40357
classifications	plural	1718
darling	singular	73154
towel	singular	10103
sermons	plural	27563
ventricle	singular	2288
automobiles	plural	5987
princess	singular	154612
accession	singular	21967
mist	singular	58839
wagons	plural	31953
blankets	plural	32922
youngsters	plural	9671
parcel	singular	23101
cab	singular	34219
puzzle	singular	18124
determinations	plural	3638
mirrors	plural	11220
commissioner	singular	30339
quarrel	singular	70756
creek	singular	86450
prisons	plural	14631
generalizations	plural	2333
stamp	singular	39268
disciple	singular	17670
mansion	singular	47216
excavation	singular	6835
fascination	singular	19462
humiliation	singular	22161
contours	plural	2718
magistrate	singular	38716
diversion	singular	16060
ounces	plural	24642
pits	plural	14378
discontent	singular	23590
founders	plural	11071
rival	singular	67074
collectors	plural	8644
spectator	singular	26306
fireplace	singular	24838
capitalists	plural	8334
fortress	singular	42957
rumors	plural	10084
believer	singular	14643
brands	plural	5209
commissioners	plural	39943
actress	singular	15587
complexities	plural	1361
bullets	plural	31861
sleeve	singular	26980
pilgrimage	singular	22916
mole	singular	16507
pensions	plural	6650
rabbit	singular	44164
gut	singular	5936
treasures	plural	44148
extremity	singular	38346
necessities	plural	22425
roar	singular	61356
fabrics	plural	7709
strife	singular	41351
goats	plural	23787
offenses	plural	4453
switches	plural	3221
chickens	plural	23838
precursor	singular	3166
selections	plural	9280
umbrella	singular	21398
choir	singular	32226
mound	singular	27117
kidneys	plural	6494
surge	singular	7365
eyebrows	plural	25899
tongues	plural	38077
vibrations	plural	9668
cough	singular	19886
hunt	singular	85697
accusations	plural	10334
allegations	plural	2394
contrasts	plural	9876
recollection	singular	46962
roofs	plural	28648
ingredient	singular	4726
tendon	singular	2601
royalty	singular	17412
utterances	plural	11675
vanity	singular	59283
enquiry	singular	9989
doll	singular	26113
sunset	singular	57322
inventions	plural	18761
burst	singular	146278
thief	singular	48850
wedge	singular	10724
disasters	plural	11122
supports	plural	17083
assertions	plural	9875
inspector	singular	29076
battlefield	singular	9897
bolt	singular	29572
worm	singular	32194
indictment	singular	11414
contour	singular	6123
attractions	plural	17387
banner	singular	28492
shipment	singular	4607
prosecutor	singular	5474
grandchildren	plural	7798
instructors	plural	5281
derivative	singular	3290
concerts	plural	10802
epoch	singular	30301
printers	plural	10921
ribbon	singular	28771
dragon	singular	37569
fibre	singular	12785
inventories	plural	1235
sack	singular	31849
cloak	singular	58835
violin	singular	23007
fox	singular	93251
queries	plural	10094
trusts	plural	10004
hostilities	plural	19100
illusions	plural	13720
flap	singular	10049
pavement	singular	30503
ligament	singular	2224
uniforms	plural	13431
competitor	singular	5496
foil	singular	6044
divinity	singular	30675
tense	singular	19362
admissions	plural	2688
satire	singular	21126
passing	singular	249389
ornaments	plural	38284
grasses	plural	15234
staircase	singular	34859
grocery	singular	6649
worms	plural	26417
embryos	plural	2287
rack	singular	19007
neighbour	singular	41514
fisheries	plural	7340
lamb	singular	62254
suspicions	plural	35284
salad	singular	17881
compilation	singular	4997
robbery	singular	24043
propensity	singular	6943
costumes	plural	15043
deputies	plural	19107
deities	plural	18166
banker	singular	22917
memoirs	plural	28731
bubbles	plural	11475
ministries	plural	1991
friendships	plural	9896
regiments	plural	38517
demon	singular	25859
pyramid	singular	15712
adversary	singular	21733
travellers	plural	47972
basins	plural	7706
chord	singular	9656
delinquency	singular	1886
accusation	singular	22878
defenders	plural	17041
counselors	plural	1776
crafts	plural	4691
whale	singular	27701
gum	singular	22341
voter	singular	2966
ditch	singular	29024
magistrates	plural	28932
countrymen	plural	47839
premiums	plural	2880
rite	singular	14875
parasites	plural	7304
cliffs	plural	39686
ancestor	singular	17107
countenance	singular	121754
endeavor	singular	27903
pills	plural	9016
rifles	plural	37108
onions	plural	17418
lump	singular	22109
dominion	singular	39421
translator	singular	11271
sandstone	singular	14911
presses	plural	13537
ankle	singular	14789
promoter	singular	3996
grapes	plural	24023
lace	singular	45469
pillar	singular	23652
fringe	singular	17056
appliances	plural	9367
treason	singular	36739
observance	singular	16052
stain	singular	22128
kingdoms	plural	25913
coffin	singular	33774
bundles	plural	14738
stamps	plural	18210
principals	plural	4037
delegate	singular	9248
trader	singular	19695
searches	plural	3062
vocation	singular	13474
legislatures	plural	7987
mast	singular	30154
capitals	plural	14971
anxieties	plural	10508
declarations	plural	8350
revisions	plural	1039
rider	singular	35227
kernel	singular	7193
mat	singular	21451
injections	plural	1923
lender	singular	3579
squadron	singular	35178
clip	singular	5935
examiner	singular	6993
par	singular	45194
bat	singular	21733
massacre	singular	23842
supplements	plural	1669
tiger	singular	37367
municipalities	plural	2932
boiler	singular	20188
locks	plural	34234
horizons	plural	2636
guinea	singular	30163
sidewalk	singular	11267
yarn	singular	16388
likeness	singular	34849
baskets	plural	22796
gradients	plural	1036
violet	singular	45117
barracks	plural	19904
velvet	singular	44364
litter	singular	18750
signatures	plural	7120
knives	plural	28041
skies	plural	37310
graft	singular	6042
murders	plural	11603
noises	plural	18088
dancer	singular	10145
brake	singular	14683
baths	plural	18746
acknowledgment	singular	18978
proprietor	singular	31125
gallons	plural	11123
pronoun	singular	6561
pamphlets	plural	11899
hymns	plural	22423
policemen	plural	11976
synagogue	singular	8476
piston	singular	10061
auditor	singular	6025
nests	plural	25778
spoon	singular	20820
petitions	plural	13480
artisans	plural	7422
trench	singular	33942
balcony	singular	21875
converts	plural	14029
convent	singular	51542
cohort	singular	1447
kit	singular	26712
motors	plural	9423
vowels	plural	5357
whisper	singular	70165
canopy	singular	13417
sailor	singular	61552
hymn	singular	36044
exposures	plural	2180
nuns	plural	18243
oscillations	plural	2522
tombs	plural	24587
sandwich	singular	14624
ratification	singular	7607
sheath	singular	11333
stakes	plural	15475
moods	plural	18619
expeditions	plural	20974
surgeons	plural	13098
poster	singular	3768
ropes	plural	31763
apology	singular	31253
propriety	singular	30852
writ	singular	23775
bolts	plural	13806
trunks	plural	31403
freedoms	plural	1157
celebrations	plural	2714
exhibit	singular	42054
jaws	plural	29424
continents	plural	9445
roller	singular	8685
allusion	singular	30467
serpent	singular	42519
sage	singular	32825
academy	singular	48636
collisions	plural	2637
controversies	plural	7467
dentist	singular	4827
gratification	singular	20805
huts	plural	28256
ulcer	singular	3415
acquisitions	plural	4117
penny	singular	61053
cakes	plural	36212
computations	plural	1202
avenue	singular	58426
consolation	singular	38424
bowls	plural	11596
passport	singular	11203
butt	singular	19741
squad	singular	12231
meadow	singular	40362
prostitutes	plural	4300
passes	plural	83200
bastard	singular	8628
nuisance	singular	12772
toast	singular	24514
posters	plural	3336
excavations	plural	7834
contractions	plural	2785
buds	plural	20644
swords	plural	41474
hedge	singular	33837
galleries	plural	19906
lions	plural	28214
cannon	singular	58390
dispositions	plural	13709
cellar	singular	36000
jewels	plural	48514
outfit	singular	24393
exhibitions	plural	8961
superstition	singular	39384
antagonism	singular	11378
affections	plural	48063
molar	singular	2254
embrace	singular	46278
